"","Variable","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Date","Altitude"
"114","GA",8.31688008773374,7.30791920771867,0.0128929409888507,0.769098006394876,2.93759425949576,"2022-02-14","ground"
"115","GGA",8.62988800041159,6.6048619400086,0.00428783744495692,0.00317410756043679,1.81506682970781,"2022-02-14","ground"
"116","CSI",6.99246113247402,1.67078298641521,0.000781542912864175,42.0450574945942,6.62142759737268,"2022-02-14","ground"
"117","NGRDI",10.257227696141,0.084837320475874,12.1818483613155,1.28975729854322,0.655297278557496,"2022-02-14","ground"
"118","NGRDIveg",6.43719748850593,5.07528369577426,2.43879981754934,19.9736768975455,8.34958399896342,"2022-02-14","ground"
"119","TGI",0.690751702857324,18.834050148541,0.546045442482906,6.37089054538421,2.96996545954662,"2022-02-14","ground"
"120","TGIveg",2.78414899682841,11.5453109381582,0.0784459932356525,12.0151350113226,64.0712802362384,"2022-02-14","ground"
"121","Intensity",7.84977122471622,1.62430840118277,4.12979401539312,0.659418878026143,0.130607668450863,"2022-03-09","15m"
"122","Hue",8.16094133464461,0.0106150461570024,3.50843030173001,2.09991559823677,3.43107806727368,"2022-03-09","15m"
"123","Saturation",3.50074257368876,12.0523856215295,62.1617486146812,3.67187044665467,0.4489359706806,"2022-03-09","15m"
"124","Lightness",7.56602696948376,2.71962507041474,5.77436142654912,0.823060371529931,0.31634882409195,"2022-03-09","15m"
"125","a.",8.07717297892891,0.629983855747966,3.2397734085223,0.441801733576855,2.75474147414677,"2022-03-09","15m"
"126","b.",0.0578901789153101,41.6471538388607,0.0477868588334028,0.323081425031391,0.47860934829587,"2022-03-09","15m"
"127","u.",8.12725298096981,0.230453571106908,4.24706768343057,0.151284124636284,0.139800776503927,"2022-03-09","15m"
"128","v.",1.25937133927777,34.0312935947031,8.23516910941802,0.0061130073001427,0.541239040530444,"2022-03-09","15m"
"129","GA",7.76647090203214,0.421081441345999,4.9701072042685,30.9871056365721,0.959198717260839,"2022-03-09","15m"
"130","GGA",8.26289328682868,0.0366261365802519,1.05905517449919,1.66496221808124,0.102490164470324,"2022-03-09","15m"
"131","CSI",8.00709415516162,0.510804043325787,0.29081301749958,3.25210445862279,47.2155870715254,"2022-03-09","15m"
"132","NGRDI",8.14751139276989,0.0579490175242666,0.288044719735708,11.6074811358881,16.3504913402846,"2022-03-09","15m"
"133","NGRDIveg",7.95475536720458,0.465630217655314,0.33920800997812,29.2051268543701,0.08726995600871,"2022-03-09","15m"
"134","TGI",7.81773288970607,2.2975208846508,1.69285646753711,0.0360369097493376,1.55554421518766,"2022-03-09","15m"
"135","TGIveg",7.44437242567195,3.26456925921502,0.0157839879241729,15.0706372017242,25.4880573652883,"2022-03-09","15m"
"136","Intensity",7.8106514993702,0.0642288892025411,3.23046400137682,2.60251799628835,0.0891501460283011,"2022-03-09","50m"
"137","Hue",7.84300710252538,0.00281533833554694,3.62392431390349,0.429432932073023,0.228902140935821,"2022-03-09","50m"
"138","Saturation",3.10664798682749,22.2410479144546,47.1817230540376,4.58844277469993,0.0320441790515411,"2022-03-09","50m"
"139","Lightness",7.73407098868585,0.217634746421968,4.90630542110585,2.52446893023643,0.046306466954427,"2022-03-09","50m"
"140","a.",7.82533396586679,0.194069173596733,3.38962187490967,0.0379913357943065,5.32315906700316,"2022-03-09","50m"
"141","b.",0.934424474384249,48.1226474095791,0.395985716763202,0.566389757912296,0.25882605651842,"2022-03-09","50m"
"142","u.",7.78154581405172,0.0194143625218941,4.67166289497959,2.16028562021703,2.23496947473989,"2022-03-09","50m"
"143","v.",3.82472807217034,23.8867034037092,20.3190848306896,0.0126642199129783,0.00838590009636696,"2022-03-09","50m"
"144","GA",7.16752864210792,0.0756412581456471,7.60364812552077,36.3853722411678,0.11252702628316,"2022-03-09","50m"
"145","GGA",7.84293096337952,9.17254726386824e-05,0.589879864252114,3.42584287758835,22.9454203373355,"2022-03-09","50m"
"146","CSI",7.86598254756658,0.00184357717742573,0.802257933779838,0.54311405126949,35.6435929109979,"2022-03-09","50m"
"147","NGRDI",7.83490063400015,0.0148141896496095,0.106893140163851,6.79873912935064,16.4038134323009,"2022-03-09","50m"
"148","NGRDIveg",7.56529421408459,0.0304040122587157,0.591030970756766,25.2251362151442,7.54873109400508,"2022-03-09","50m"
"149","TGI",7.67165943810786,1.44258694727226,2.43974098558966,0.603384945030682,3.94191854255808,"2022-03-09","50m"
"150","TGIveg",7.19129365687138,3.68605705220228,0.147776872171106,14.0962169733145,5.18225322519125,"2022-03-09","50m"
"151","Intensity",7.86605126817272,0.0817067793582992,4.00457847792381,2.52870804493571,0.274089582940351,"2022-03-09","30m"
"152","Hue",7.91857923671317,0.00691467154130937,3.40553531170427,0.583345252374286,0.806806880839195,"2022-03-09","30m"
"153","Saturation",3.27020824973712,19.8042309380005,48.677129341678,2.55592594787133,0.936282837961493,"2022-03-09","30m"
"154","Lightness",7.77809502460004,0.252320260149216,5.9391086642596,2.42457654883239,0.364131988814221,"2022-03-09","30m"
"155","a.",7.90327312796092,0.14259285604579,3.4475210118224,0.0266153024263008,7.17375469427975,"2022-03-09","30m"
"156","b.",0.409226202334481,47.1017776614806,0.111062898335246,0.35910410694039,0.0465012358892552,"2022-03-09","30m"
"157","u.",7.86483677627562,0.00636078256220531,4.52212732299828,2.66773667408547,3.52385927684169,"2022-03-09","30m"
"158","v.",3.03924552772414,26.9027483901551,20.6055938162751,0.103681019151699,0.0391724417854449,"2022-03-09","30m"
